ID,Depth,1302,1300,1298,1296,1292,1292',1050-5,1050-6,1048-5,1048-6,1036-5,1036-6,1034-5,1034-6,1032-5,1032-6,1022,1020,1018
3_1_1,36.79,12476.27286,4361.942217,5633.442483,8193.751102,225.426699,13.11573521,985.4132917,181.8403003,20.09518002,0,25434.19767,0,992.626946,0,400.1470288,0,227515.7311,21967.24043,11143.40969
3_1_140,39.01,53785.28295,9737.491373,12440.78805,19676.96169,336.5398048,19.47863069,7856.117199,827.4976588,104.9643526,146.2962174,82568.71098,0,8942.515457,0,3533.306597,0,254794.9435,21360.86523,12687.16176
3_2_50,41.24,23386.44738,4475.227201,6025.535884,9113.233374,174.3418784,29.45196608,1160.132247,0,24.48278296,0,22739.7082,0,473.888059,0,617.0387572,0,230118.4934,14841.07697,6251.232359
3_3_60,43.44,122732.1136,10571.43336,33655.42979,27801.89079,1050.452673,63.09136841,770.7289954,115.3883434,59.50874646,117.2029182,33788.87082,0,14678.83964,0,4313.662941,0,673519.248,25123.53193,32222.52059
5_1_40,49.15,20418.82237,4789.279569,6558.738647,8001.422727,282.1336054,17.83140722,1226.317935,410.1726662,20.04461432,48.01150407,20757.87061,0,2657.583878,0,640.7234561,0,171344.7333,16121.32748,8503.896189
5_1_80,50.16,6692.038367,1860.716664,2502.098864,3126.445836,96.22216871,4.402519995,450.9031068,0,15.70792962,0,8727.243443,0,696.5726024,0,224.6173179,0,87374.89116,7683.22929,3755.314504
5_3_110,54.6,38600.38732,6553.72967,10076.95643,9695.21112,244.7685493,0,5932.527076,0,108.4219348,0,70069.48481,0,10875.17737,0,3310.235817,0,259793.2332,31257.04277,15751.78787
6_1_130,56.02,14681.81652,3389.707518,4531.805845,4771.587915,109.2060552,2.519887997,729.9820996,140.00105,0,0,14061.10593,0,862.8489212,0,406.520113,0,101720.4824,7554.820571,4991.9963
6_2_45,56.5,16013.38399,2791.787811,4106.301221,4412.505445,95.94161731,1.973841031,520.4145131,190.5889126,2.265063478,8.15422852,10696.6652,0,820.6648561,0,302.0947518,0,88016.19256,6752.736672,4123.774568
6_2_110,56.97,20936.34825,4512.967403,6319.095547,6759.080674,179.8354678,7.180869618,539.8898478,181.8921246,0,0,11777.9508,0,1256.756759,0,453.4405436,0,168954.3936,12814.40127,6662.836106
7_1_140,58.95,47797.31092,8589.625318,10650.15343,12341.90914,329.296316,16.90069753,2616.56517,384.6039514,53.62167782,0,31986.39996,0,5170.955511,0,1346.5456,0,137897.479,15600.90642,8773.68255
