Sample ID,Nu Cluster,Type,Latitude,Longitude,Depth (m),Elevation,Distance to land (km),MAAT,pH,744,1302,1300,1298,1296,1292,1292',1050-5,1050-6,1048-5,1048-6,1036-5,1036-6,1034-5,1034-6,1032-5,1032-6,1022,1020,1018
AII1079_GGC110,Marine-type,M,-30.81,-37.79,2661,0,961.9339834,20.65257108,NA,6592239,96380,20890,21452,1905,136900,10300,84,18970,0,0,7812,2522,1661,77,61,54,10744,884,313
AII1079_GC104,Marine-type,M,-31.2633,-35.915,1430,0,1096.506939,18.67334652,NA,6448374,31237,6163,5635,621,36924,2580,3338,1976,0,0,1658,542,0,0,0,0,2108,263,63
AII1258_BC35,Marine-type,M,26.769,-111.309,980,0,18.15828881,21.68139193,NA,80579,2118868,394787,277358,54596,4042573,129146,14717,28898,848,974,5482,8082,7163,8370,1089,3131,17576,12811,5934
AII1079_GGC153,Marine-type,M,-30.93,-38.758,3965,0,936.9164542,20.49143689,NA,5789119,173222,35209,33047,2755,211672,16692,96670,6322,0,0,26783,3406,135,1636,0,32,25643,1141,141
AII1258_GGC13,Marine-type,M,26.52,-110.5,1330,0,71.10529629,18.59389475,NA,160724,2180306,374142,257921,53118,3399828,99513,20151,34838,1107,903,7306,10503,10544,16143,1935,5581,27255,20919,8212
AII1258_BC43,Marine-type,M,27.9,-111.65,655,0,26.79216683,17.80362935,NA,73659,1486871,268817,185749,9322,2448198,69233,11585,20995,389,150,3859,5155,1970,2714,179,648,10385,3835,1646
AII1258_GGC24,Marine-type,M,26.08,-110.83,1020,0,25.45732384,19.92351772,NA,91187,1720585,314284,226912,47731,3578588,115517,14454,28525,722,895,5201,9747,7212,17218,1083,5824,20074,16707,7024
AII1258_GGC16,Marine-type,M,26,-110.67,1295,0,36.74309535,19.92351772,NA,103498,2397327,465455.5,322247,60044,3879298.5,118406.5,17058,31259.5,1014,1132,6063,8739.5,9743,14330,1799,4871.5,21623.5,17228,7584
AII1258_GGC53,Marine-type,M,27.62,-111.93,1442,0,17.82945378,18.48760142,NA,209014,2170166,311200,196258,41112,3047109,76337,7255,14532,266,302,4149,6030,5411,7416,624,2032,15450,12380,5490
AII1258_GGC66,Marine-type,M,30.163,-114.018,335,0,42.85826371,15.46601394,NA,251750,1070703,170995,100690,7753,2706377,55509,10869,17497,329,304,16332,19260,9502,14253,492,6592,49696,31450,18972
AII1258_GGC69,Marine-type,M,31.009,-114.165,210,0,53.30296435,16.44978174,NA,257229.5,1252550,179638,100928,26491.5,2464875,29808,9748.5,11093.5,453.5,291,18372.5,18303.5,7959.5,9664.5,854.5,3312,51449.5,25621.5,14659.5
AII1258_GGC71,Marine-type,M,30.68,-114.12,190,0,52.78958021,16.49483109,NA,171910,1949904,267448,141687,12640,4146531,55097,19933,20941,1384,715,27328,27607,14295,15836,1513,5601,70731,36524,21282
AII31_PC6,Marine-type,M,9.642,-43.617,4757,0,1037.750185,21.66617393,NA,4846358,214797,50318,55482,10733,399780,39786,109589,12632,622,2459,38861,6113,5794,279,1009,53,145569,6684,2539
AII602_PC10,Marine-type,M,-29.66,-34.667,1840,0,1038.569325,21.17229801,NA,4003087,90854,23955,19683,1544,113838,8483,15988,7395,2442,2661,5325,2137,7893,778,0,0,10320,2891,613
AII602_GC13A,Marine-type,M,-31.955,-36.568,2739,0,1128.594285,16.85050477,NA,5832439,94848,19706,16792,2241,106118,8108,28659,6668,1707,414,11000,2850,4523,396,0,0,19361,2361,530
AII602_GC9A,Marine-type,M,-29.125,-34.598,3273,0,1003.485524,18.29608868,NA,5962305,56365,11581,10900,1272,69067,4936,11558,1710,350,115,4528,1099,1621,69,127,68,7796,1004,207
AII31_PC17,Marine-type,M,11.908,-48.433,4824,0,865.5000826,23.09608237,NA,7239803,348025,73471,67331,5165,412563,40049,122758,13779,949,1958,48852,8816,4238,248,1045,921,213891,6964,1742
AII72_BC21,Marine-type,M,34.1,-75.7,2202,0,93.64655492,23.92489306,NA,7234715,100084,9860,7797,1885,75005,4327,139714,63957,3663,10836,269021,186066,69179,104416,17106,24437,698037,200955,65694
AII31_PC16,Marine-type,M,11.958,-46.167,4217,0,1015.351927,23.17105961,NA,5461352,76244,13161,10918,878,61782,6052,23952,1321,1211,296,0,11021,0,0,0,0,67145,3323,1968
AII31_PC2,Marine-type,M,10.583,-44.85,5106,0,1000.486469,21.75625049,NA,5155949,1235559,251757,229713,25960,1691088,129287,26310,233127,3573,10466,213474,236552,31511,50035,7233,8784,1531537,128039,38595
AII31_PC12,Marine-type,M,10.333,-41.292,3182,0,1292.092527,22.85487874,NA,1867472,55742,10890,8741,974,58985,3714,8912,1783,0,0,2327,441,2260,67,0,0,11225,522,199
AII9318_PG58,Marine-type,M,25.978,56.7217,103,0,26.60379613,24.52391497,NA,652919.5,2274171.5,736962.5,596634.5,238330,7159076,232237,13708.5,31545,590,680,46005,58646,13862,14583.5,1230,5240,120269.5,64952.5,45469
AII9318_PG57,Marine-type,M,26.443,56.028,72,0,23.83549227,25.2022971,NA,753687,1099986,345346,271932,108592,4443250,119319,7730,15673,0,0,40085,48231,9446,10070,632,3460,148443,68256,44886
AII9318_PG45,Marine-type,M,29.337,49.755,30,0,51.73248365,25.96092582,NA,5090787,1463386,409944,339553,89717,4318706,71391,42953,46040,600,1653,122535,134464,32677,32550,5126,9460,471244,196035,133973
AII9318_PC57,Marine-type,M,26.443,56.028,72,0,23.83549227,25.2022971,NA,381116.5,4662787.5,1531877.5,1147828.5,453359,12734614,429663,20635,38509.5,519,367.5,77184,86267.5,20045,16781,2864.5,6477,217481.5,84652,65812
AII9318_GC53,Marine-type,M,25.658,53.147,48,0,61.37334877,26.41661263,NA,7771540,1025634,310143,216877,55322,3118612,73061,15631,33578,0,0,82860,114937,24229,23023,2562,6538,530483,244219,166931
